库名,表名,路径,du B（不准确）,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
report_tb,likee_sid_daliy_report_detail_step_lqt,/data/hive/report_tb.db/likee_sid_daliy_report_detail_step_lqt,,,lanqiangtai,,,,,,,
report_tb,likee_sid_daliy_report_detail_step_lqt_date,/data/hive/report_tb.db/likee_sid_daliy_report_detail_step_lqt_date,44425911,0,lanqiangtai,,lanqiangtai,hdfs,,,,
report_tb,bigolive_linyilan_media_source_install,/data/hive/report_tb.db/bigolive_linyilan_media_source_install,180608841,0,linyilan,,linyilan,hdfs,,,,
report_tb,bigolive_linyilan_media_source_install_for_web,/data/hive/report_tb.db/bigolive_linyilan_media_source_install_for_web,,,linyilan,,,,,,,
report_tb,bigolive_linyilan_media_source_install_for_web1,/data/hive/report_tb.db/bigolive_linyilan_media_source_install_for_web1,665208,0,linyilan,,linyilan,hdfs,,,,
report_tb,bigolive_yty_sale_gift_sum2,/data/hive/report_tb.db/bigolive_yty_sale_gift_sum2,5733,0,yutianyu,,yutianyu,hdfs,,,,
report_tb,likee_live_ipsizev2_data_xxl_audience,/data/hive/report_tb.db/likee_live_ipsizev2_data_xxl_audience,3726,0,xuxiaolin,,xuxiaolin,hdfs,,,,
report_tb,likeelive_lrr_kehuduan_ab_flag_watch_allentrance_no2,/data/hive/report_tb.db/likeelive_lrr_kehuduan_ab_flag_watch_allentrance_no2,1042946889,0.001,linrongrong,,linrongrong,hdfs,,,,
report_tb,webjs_data_trans_uri_with_country_daily,/data/hive/report_tb.db/webjs_data_trans_uri_with_country_daily,-906520832,12.956,caoke,,caoke,hdfs,,,,
report_tb,webjs_data_trans_uri_count_daily,/data/hive/report_tb.db/webjs_data_trans_uri_count_daily,-476646830,0.031,caoke,,caoke,hdfs,,,,
report_tb,lxx_vm_ticket_balance_zero_before,/data/hive/report_tb.db/lxx_vm_ticket_balance_zero_before,4458,0,linxixi,,linxixi,hdfs,,,,
report_tb,lxx_vm_ticket_balance_zero,/data/hive/report_tb.db/lxx_vm_ticket_balance_zero,5469,0,linxixi,,linxixi,hdfs,,,,
report_tb,bigolive_linyilan_media_source_install_for_web2,/data/hive/report_tb.db/bigolive_linyilan_media_source_install_for_web2,2008446,0,linyilan,,linyilan,hdfs,,,,
report_tb,bigolive_lyl_family_admin111_all_by_day,/data/hive/report_tb.db/bigolive_lyl_family_admin111_all_by_day,14865,0,linyilan,,linyilan,hdfs,,,,
report_tb,report_union_ip_profile_latest,/data/hive/report_tb.db/report_union_ip_profile_latest,2120314276,0.01,tanlingqiang,,tanlingqiang,hdfs,,,,
report_tb,bigolive_yty_lowprice_diamond_sum3,/data/hive/report_tb.db/bigolive_yty_lowprice_diamond_sum3,22557,0,yutianyu,,yutianyu,hdfs,,,,
report_tb,bigolive_lxx_fd_basic_before,/data/hive/report_tb.db/bigolive_lxx_fd_basic_before,163023,0,linxixi,,linxixi,hdfs,,,,
report_tb,bigolive_lx_purchase_activity_dangwei_for_web,/data/hive/report_tb.db/bigolive_lx_purchase_activity_dangwei_for_web,9151044,0,lixue,,lixue,hdfs,,,,
report_tb,video_shumei_biaozhu_yxb_20200701,/data/hive/report_tb.db/video_shumei_biaozhu_yxb_20200701,6301866,0,yangxiaobin1,,yangxiaobin1,hdfs,,,,
report_tb,imolive_lxx_change_month_0501,/data/hive/report_tb.db/imolive_lxx_change_month_0501,-6847055,0.02,linxixi,,linxixi,hdfs,,,,
report_tb,bigolive_lxx_fd_basic,/data/hive/report_tb.db/bigolive_lxx_fd_basic,969270,0,linxixi,,linxixi,hdfs,,,,
report_tb,shumei_video_review_yxb_20200701,/data/hive/report_tb.db/shumei_video_review_yxb_20200701,1183845,0,yangxiaobin1,,yangxiaobin1,hdfs,,,,
report_tb,bigo_guxiaoying_yingshou_hour,/data/hive/report_tb.db/bigo_guxiaoying_yingshou_hour,11002074,0,guxiaoying,,guxiaoying,hdfs,,,,
report_tb,bigolive_shumei_biaozhu_yxb_20200701_s1,/data/hive/report_tb.db/bigolive_shumei_biaozhu_yxb_20200701_s1,54713256,0,yangxiaobin1,,yangxiaobin1,hdfs,,,,
report_tb,report_likee_uid_ip_profile_latest,/data/hive/report_tb.db/report_likee_uid_ip_profile_latest,728514686,0.005,tanlingqiang,,tanlingqiang,hdfs,,,,
report_tb,report_bigolive_uid_ip_profile_latest,/data/hive/report_tb.db/report_bigolive_uid_ip_profile_latest,1189470795,0.001,tanlingqiang,,tanlingqiang,hdfs,,,,
report_tb,report_imo_uid_ip_profile_latest,/data/hive/report_tb.db/report_imo_uid_ip_profile_latest,1640616743,0.005,tanlingqiang,,tanlingqiang,hdfs,,,,
report_tb,report_helloyo_uid_ip_profile_latest,/data/hive/report_tb.db/report_helloyo_uid_ip_profile_latest,88387371,0,tanlingqiang,,tanlingqiang,hdfs,,,,
report_tb,bigolive_lyl_abtest1_all,/data/hive/report_tb.db/bigolive_lyl_abtest1_all,-1089491884,0.038,linyilan,,linyilan,hdfs,,,,
report_tb,bigohead_shumei_biaozhu_yxb_20200701_s1,/data/hive/report_tb.db/bigohead_shumei_biaozhu_yxb_20200701_s1,3135300,0,wangqian8,,yangxiaobin1,hdfs,,,,
report_tb,hello_liwei_007,/data/hive/report_tb.db/hello_liwei_007,5023302,0,songjiaming1,,songjiaming1,hdfs,,,,
report_tb,bigolive_yty_lowprice_diamond_sum4,/data/hive/report_tb.db/bigolive_yty_lowprice_diamond_sum4,-408935788,0.004,yutianyu,,yutianyu,hdfs,,,,
report_tb,likee_tech_live_rate_sec,/data/hive/report_tb.db/likee_tech_live_rate_sec,6360966,0,zhangyangjiang,,zhangyangjiang,hdfs,,,,
report_tb,bigolive_linyilan_register_process_data_abtest_by_day_v1,/data/hive/report_tb.db/bigolive_linyilan_register_process_data_abtest_by_day_v1,2289081,0,linyilan,,linyilan,hdfs,,,,
report_tb,shumei_live_yxb_20200701_s1,/data/hive/report_tb.db/shumei_live_yxb_20200701_s1,8036970,0,yangxiaobin1,,yangxiaobin1,hdfs,,,,
report_tb,bigolive_yty_sale_gift_sum3,/data/hive/report_tb.db/bigolive_yty_sale_gift_sum3,31587,0,yutianyu,,yutianyu,hdfs,,,,
report_tb,voice_shumei_yxb_20200701_s1,/data/hive/report_tb.db/voice_shumei_yxb_20200701_s1,24204354,0,yangxiaobin1,,yangxiaobin1,hdfs,,,,
report_tb,shumei_head_yxb_20200701_s1,/data/hive/report_tb.db/shumei_head_yxb_20200701_s1,306285,0,yangxiaobin1,,yangxiaobin1,hdfs,,,,
report_tb,wangze_weber,/data/hive/report_tb.db/wangze_weber,,,wangze.weber,,,,,,,
report_tb,like_moment_visit_tj_data,/data/hive/report_tb.db/like_moment_visit_tj_data,31134669,0,wujun,,wujun,hdfs,,,,
report_tb,shumei_voice_yxb_20200701_s1,/data/hive/report_tb.db/shumei_voice_yxb_20200701_s1,7338201,0,yangxiaobin1,,yangxiaobin1,hdfs,,,,
report_tb,weber,/data/hive/report_tb.db/weber,,,wangze.weber,,,,,,,
report_tb,like_moment_post_tj_data,/data/hive/report_tb.db/like_moment_post_tj_data,13000416,0,wujun,,wujun,hdfs,,,,
report_tb,abtest_account_id_hour,/data/hive/report_tb.db/abtest_account_id_hour,2130219,0,wangze.weber,,wangze.weber,hdfs,,,,
report_tb,bigolive_linyilan_media_source_old_install,/data/hive/report_tb.db/bigolive_linyilan_media_source_old_install,631164177,0.001,linyilan,,linyilan,hdfs,,,,
report_tb,bigolive_linyilan_media_source_old_install_for_web1,/data/hive/report_tb.db/bigolive_linyilan_media_source_old_install_for_web1,697114818,0.001,linyilan,,linyilan,hdfs,,,,
report_tb,likee_live_android_media_exception_feature_stats,/data/hive/report_tb.db/likee_live_android_media_exception_feature_stats,-1940390568,0.01,jixicai,,jixicai,hdfs,,,,
report_tb,bigolive_linyilan_family_admin_process_by_day,/data/hive/report_tb.db/bigolive_linyilan_family_admin_process_by_day,532842,0,linyilan,,linyilan,hdfs,,,,
report_tb,weber2,/data/hive/report_tb.db/weber2,2130219,0,wangze.weber,,wangze.weber,hdfs,,,,
report_tb,bigolive_linyilan_register_process_data_abtest2_by_day_v1,/data/hive/report_tb.db/bigolive_linyilan_register_process_data_abtest2_by_day_v1,386704770,0,linyilan,,linyilan,hdfs,,,,
report_tb,bigolive_sign_shower_info2_new_time2_test,/data/hive/report_tb.db/bigolive_sign_shower_info2_new_time2_test,83195337,0,heliwen,,heliwen,hdfs,,,,
report_tb,bigolive_sign_shower_info_new_time2_test,/data/hive/report_tb.db/bigolive_sign_shower_info_new_time2_test,48319545,0,heliwen,,heliwen,hdfs,,,,
report_tb,bigolive_linyilan_family_admin1_process_by_day,/data/hive/report_tb.db/bigolive_linyilan_family_admin1_process_by_day,545868,0,linyilan,,linyilan,hdfs,,,,
report_tb,bigolive_lyl_family_admin1_data_by_day,/data/hive/report_tb.db/bigolive_lyl_family_admin1_data_by_day,286674,0,linyilan,,linyilan,hdfs,,,,
report_tb,weber3,/data/hive/report_tb.db/weber3,222783,0,wangze.weber,,wangze.weber,hdfs,,,,
report_tb,hello_liwei_helloxuncha,/data/hive/report_tb.db/hello_liwei_helloxuncha,3137622,0,songjiaming1,,songjiaming1,hdfs,,,,
report_tb,likee_sid_daliy_report_detail_check_date,/data/hive/report_tb.db/likee_sid_daliy_report_detail_check_date,,,lanqiangtai,,,,,,,
report_tb,imo_audio_quality_ab_exp2,/data/hive/report_tb.db/imo_audio_quality_ab_exp2,-1046845679,0.019,sunweihong,,sunweihong,hdfs,,,,
report_tb,bigolive_lx_bar_sublist_xingwei_for_web,/data/hive/report_tb.db/bigolive_lx_bar_sublist_xingwei_for_web,-1319084288,0.108,lixue,,lixue,hdfs,,,,
report_tb,imo_video_audio_quality_ab_exp,/data/hive/report_tb.db/imo_video_audio_quality_ab_exp,-1548179705,0.018,sunweihong,,sunweihong,hdfs,,,,
report_tb,imo_video_quality_ab_exp2,/data/hive/report_tb.db/imo_video_quality_ab_exp2,2086633703,0.018,sunweihong,,sunweihong,hdfs,,,,
report_tb,likee_sid_daliy_report_detail_date_lqt,/data/hive/report_tb.db/likee_sid_daliy_report_detail_date_lqt,28909467,0,lanqiangtai,,lanqiangtai,hdfs,,,,
