目录,du B,du TB,文件数量,分区格式,保留周期（天）,已配置TTL,业务线,使用者,目录属主,目录属组,数据接入方式,离线/在线迁移,Client版本,迁移状态
/data/hive/indigo_mediate_tb.db/indigo_wyf_userid_first_login_day,"12,701,200,000,000",11.552,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_uid_first_login_day,"12,332,900,000,000",11.217,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_user_base_info,"12,110,400,000,000",11.014,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_imo_uid_first_login_rank_day,"11,962,500,000,000",10.880,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_im_calls_linkfor_stranger,"11,681,000,000,000",10.624,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_daily_user_fuction_info,"11,413,000,000,000",10.380,,,,,,,yangzehui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_levelup_all_day,"11,169,700,000,000",10.159,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_strategy_day,"11,150,700,000,000",10.142,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_lmj_ad_chatlist_firstscreen_tmpdau00,"10,374,900,000,000",9.436,,,,,,,limingjun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/temp_vapour_pin_send_im2,"10,074,300,000,000",9.163,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_userid_first_page_view_day,"9,050,390,000,000",8.231,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_call_link_hour,"9,006,290,000,000",8.191,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_version_union_day,"8,730,950,000,000",7.941,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_uid_bigo_uid_id_mapping_day,"8,488,680,000,000",7.720,,,,,,,yangzehui,hdfs,,,,
