1v1,bigo_happy_hour_order_stat,/flume/1v1/bigo_happy_hour_order_stat,hadoop,,,hadoop,
1v1,bigo_happy_hour_login_stat,/flume/1v1/bigo_happy_hour_login_stat,hadoop,,,,
algo,live_stats_kafka_d_miclink,/flume/bigolive/live_stats_kafka_d-miclink,hadoop,,,,
algo,rec_broadcaster_time_d_orc,/recommend/hive/algo.db/rec_broadcaster_time_d_orc,chenhuafeng,1194045262.00,0.009,chenhuafeng,hdfs
algo,rec_broadcaster_time_3d_orc,/recommend/hive/algo.db/rec_broadcaster_time_3d_orc,chenhuafeng,-1597967876.00,0.018,chenhuafeng,hdfs
algo,rec_broadcaster_time_7d_orc,/recommend/hive/algo.db/rec_broadcaster_time_7d_orc,chenhuafeng,-580843157.00,0.031,chenhuafeng,hdfs
algo,rec_broadcaster_time_14d_orc,/recommend/hive/algo.db/rec_broadcaster_time_14d_orc,chenhuafeng,-1802227276.00,0.049,chenhuafeng,hdfs
algo,rec_shower_first_show_time_from_stat_d,/recommend/hive/algo.db/rec_shower_first_show_time_from_stat_d,hadoop,-486456832.00,2.214,hadoop,hdfs
algo,video_weight,/recommend/hive/algo.db/video_weight,zhanghang,48.00,0,zhanghang,hdfs
algo,rec_imactive_all_users_30d_orc,/recommend/hive/algo.db/rec_imactive_all_users_30d_orc,zhanghang,875817600.00,0.098,zhanghang,hdfs
algo,rec_viewer_android_offline_push_stat_d_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_d_orc_new,penglinfeng,-167148610.00,0.027,penglinfeng,hdfs
algo,rec_viewer_android_offline_push_stat_7d_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_7d_orc_new,penglinfeng,-447749929.00,0.05,penglinfeng,hdfs
algo,rec_viewer_android_offline_push_stat_with_tz_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_with_tz_orc_new,penglinfeng,1894013824.00,0.123,penglinfeng,hdfs
algo,rec_viewer_all_offline_push_stat_d_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_d_orc,penglinfeng,46311872.00,0.754,penglinfeng,hdfs
algo,rec_viewer_all_offline_push_stat_7d_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_7d_orc,penglinfeng,1213232640.00,0.626,penglinfeng,hdfs
algo,rec_viewer_all_offline_push_stat_with_tz_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_with_tz_orc,penglinfeng,-529332096.00,0.199,penglinfeng,hdfs
algo,user_countrycode_bak,/recommend/hive/algo.db/user_countrycode_bak,alg_push,141772295.00,0.051,jinzigang,hdfs
algo,like_user_rank_country_150,/recommend/hive/algo.db/like_user_rank_country_150,jinzigang,1409638731.00,0.001,jinzigang,hdfs
algo,like_user_rank_county,/recommend/hive/algo.db/like_user_rank_county,jinzigang,1793752192.00,0.091,jinzigang,hdfs
algo,rec_like_new_star_banyun_orc_2,/recommend/hive/algo.db/rec_like_new_star_banyun_orc_2,chenhuafeng,-1288088788.00,0.061,chenhuafeng,hdfs
algo,rec_like_new_star_base_tmp_orc_2,/recommend/hive/algo.db/rec_like_new_star_base_tmp_orc_2,chenhuafeng,276330240.00,30.02,chenhuafeng,hdfs
