algo,rec_bigolive_gift_rate_predict_result_d_orc,day=yyyy-mm-dd,90
algo,rec_bigolive_gift_rate_predict_percentile_d_orc,day=yyyy-mm-dd,90
algo,rec_bigolive_gift_rate_samples_combine_orc,day=yyyy-mm-dd,90
algo,rec_bigolive_gift_rate_samples_d_orc,day=yyyy-mm-dd,90
algo,rec_bigolive_gift_rate_detail_features_d_orc,day=yyyy-mm-dd,90
algo,rec_bigolive_gift_rate_origin_features_d_orc,day=yyyy-mm-dd,90
algo,rec_bigolive_staytime_feature_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_miclink_feature_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_follow_feature_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_gift_feature_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_pair_d_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_label_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_game_feature_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_broadcaster_feature_v2_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_broadcaster_basic_feature_v2_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_feature_14d_v2_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_label_weight_orc,day=yyyy-mm-dd,45
indigo,indigo_show_user_event_hour_pq,day=yyyy-mm-dd,15
algo,rec_bigolive_similarity_broadcaster_sample_v2_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_staytime_feature_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_gift_feature_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_pair_d_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_pair_14d_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_feature_d_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_game_feature_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_broadcaster_feature_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_broadcaster_basic_feature_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_feature_14d_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_label_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_label_weight_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_sample_v3_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_staytime_feature_v5_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_gift_feature_v5_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_miclink_feature_v5_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_follow_feature_v5_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_pair_d_v5_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_feature_d_v5_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_feature_30d_v5_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_pair_30d_v5_orc,day=yyyy-mm-dd,45
