NAME,TBL_NAME
bigolive,linkd_proto_stats
bigolive,viewer_enterroom_event
bigolive,viewer_action_data
bigolive,user_login_ip
bigolive,client_special_info
bigolive,client_normal_info
bigolive,user_exitroom
bigolive,linkd_proto_stats_v2
bigolive,shower_state_stats
bigolive,shower_end_stats
bigolive,user_action_screen_msg
bigolive,linkd_proto_restime_detail
bigolive,user_action_send_giftbean
bigolive,viewer_action_enter_exit_event
bigolive,shower_room_online_stats
bigolive,linkd_proto_http_stats
bigolive,user_action_follow_event
default,app_user_orc
default,third_party_user_orc
default,user_vmoney_changelog_orc
default,user_vmoney_info_orc
default,user_vgift_changelog_orc
default,user_ticket_changelog_orc
default,user_ticket_info_orc
default,mol_order_orc
default,tbl_user_client_info_orc
bigolive,client_pkg_stats
bigolive,user_action_send_giftbean_v2
bigolive,user_action_follow_event_v2
bigolive,shower_room_online_stats_v2
bigolive,client_dns_ip_stats
default,pay_order_orc
bigolive,server_theme_room_stats
longlimin,test_add_col_orc
bigolive,shower_start_end_stats_orc
bigolive,theme_live_stats
bigolive,video_play_upload_stats
bigolive,video_play_download_stats
bigolive,bigolive_owner_stats_text
bigolive,bigolive_audience_stats_text
default,app_user_orc_test
bigolive,linkd_rtt_stats
default,tbl_keyword_match_orc
bigolive,user_pic_upload_download_stats
longlimin,test_af
bigolive,bigo_appsflyer_push
bigolive,quality_pic_download_stats
bigolive,bigolive_http_upload_stats
bigolive,client_offline_push_static
bigolive,server_offline_push_static
longlimin,bigo_appsflyer_push
longlimin,orc_demo
longlimin,user_pic_upload_download_stats
bigolive,pc_login_linkd_stats
bigolive,pc_login_http_stats
longlimin,af_push_orc
bigolive,forward_msg_stats
longlimin,route_foward
longlimin,bigo_pss_forwardmsg
bigolive,bigo_install
bigolive,bigo_daily_report
bigolive,bigo_login
bigolive,bigo_register
bigolive,client_dau_report
bigolive,sms_rate_stats
bigolive,bigo_user_location_collection
bigolive,bigo_im_video_record
bigolive,bigo_im_video_setting
bigolive,bigo_im_video_watch
bigolive,bigo_im_video_send
bigolive,bigo_im_video_download
bigolive,bigo_profile_use
bigolive,bigo_select_card
bigolive,bigo_card_result
bigolive,bigo_match_result
bigolive,bigo_like
bigolive,bigo_who_liked_me
bigolive,bigo_user_biu_notify
bigolive,bigo_tv_page_stats
bigolive,daily_act_dev_orc
bigolive,tbl_show_follow_add_orc
bigolive,daily_new_dev_orc
bigolive,bigo_pc_assist_statistic
default,app_user_all_day
bigolive,abtest_viewer_uid_day
bigolive,shower_pc_start_end_stats_orc
bigolive,viewer_showroom_withpc_enter_exit_orc
bigolive,bigo_message_send
bigolive,bigo_lbs_linked_step_stat
bigolive,shower_pc_viewer_peak_stats_orc
bigolive,shower_pc_showtime_stats_orc
bigolive,shower_pc_pcu_acu_stats_orc
bigolive,shower_pc_dau_stats_orc
bigolive,viewer_pc_dau_stats_orc
bigolive,bigolive_media_stats_text
bigolive,showroom_exposure_event
bigolive,bigo_superlike_send
bigolive,bigo_mic_link_session
bigolive,sms_stastic_http
bigolive,im_static_http
bigolive,new_device_hdid_day_orc
bigolive,daily_new_dev_unique_orc
bigolive,bigo_super_like
tmp,tbl_immsg_bigo_all_double_session
bigolive,bigo_room_sendheart
bigolive,bigolive_imact_ip
bigolive,bigolive_audience_stats_orc
bigolive,bigo_http_client_quality_static
bigolive,bigolive_media_stats_orc
bigolive,bigo_client_task_report_to_static
bigolive,bigo_bigolive_chat
bigolive,bigo_friend_request_list
bigolive,bigo_friend_request
bigolive,bigo_new_friend
bigolive,bigo_front_push_static
bigolive,shower_pc_start_end_stats_orc_tmp
algo,live_stats_kafka_d_miclink
bigolive,bigo_party_room
bigolive,bigo_party_unitroom
bigolive,bigo_party_friends
bigolive,bigo_party_noti
bigolive,bigo_party_list
bigolive,bigo_party_sayhi
bigolive,bigo_feature_active
bigolive,bigo_party_invite_list
bigolive,bigo_party_guide
bigolive,bigo_party_live_stat
bigolive,bigo_report_channel_static
bigolive,bigo_recent_chat_list
bigolive,bigo_request_to_recent
bigolive,bigo_intimity_detail
bigolive,bigo_block_click
bigolive,bigo_party_live_media_stat
algo,rec_broadcaster_time_d_orc
algo,rec_broadcaster_time_3d_orc
algo,rec_broadcaster_time_7d_orc
algo,rec_broadcaster_time_14d_orc
algo,rec_shower_first_show_time_from_stat_d
bigolive,bigo_linkd_connection_stat
bigolive,bigo_pc_device_statis
bigolive,bigo_im_picture_upload
bigolive,bigo_im_picture_download
report_tb,im_normal
report_tb,pair_stats
bigolive,bigo_mic_link_page_click_stat
bigolive,listtab_exposure_event
bigolive,listtab_enter_event
bigolive,abtest_retention_im_days
bigolive,quality_stats
bigolive,abtest_retention_register_im_days
bigolive,shower_recommend_list_last_show_stat
bigolive,cover_remind_record
bigolive,user_action_send_giftbean_orc
bigolive,listtab_enter_event_orc
bigolive,listtab_exposure_event_orc
bigolive,shower_room_data_orc
bigolive,showroom_exposure_event_orc
bigolive,user_action_follow_event_orc
bigolive,user_action_screen_msg_orc
bigolive,viewer_enterroom_event_orc
bigolive,bigo_linkd_connection_stat_orc
report_tb,bigo_linkd_connection_stats_day
report_tb,bigo_front_push_stats_day
report_tb,bigolive_dailydata_by_country_orc
bigolive,bigo_block_thread_stat
report_tb,bigolive_appsflyer_info_orc
report_tb,bigolive_uid_devicesinfo_orc
bigolive,bigo_show_user_event
report_tb,pc_owner_report_orc
report_tb,pc_audience_report_orc
report_tb,pc_event_report_orc
bigolive,bigo_show_user_event_orc
report_tb,bigo_video_active_his_day
report_tb,bigo_video_upload_his_day
bigolive,bigo_pss_web_proxy_comm_stat
bigolive,bigo_pss_web_proxy_comm_stat_orc
report_tb,bigo_webproxy_rtt_stats_day
mediate_tb,bigo_message_send_active_orc
report_tb,im_retetion_stats_day_orc
mediate_tb,double_session_im_active_orc
report_tb,double_session_im_retetion_stats_day_orc
report_tb,bigolive_sign_shower_state_data_stats
bigolive,tbl_video_day_orc
report_tb,bigo_show_user_event_upload
report_tb,bigo_show_up_down_load_stats
report_tb,bigo_show_user_event_upload_cover
report_tb,bigo_show_user_event_upload_speed
report_tb,bigo_show_play_stats
report_tb,bigo_show_user_event_starttime_by_total_count
bigolive,bigo_report_task_status
bigolive,tbl_video_like_day_orc
report_tb,short_video_content_trace_uv
