1v1,bigo_happy_hour_order_stat,/flume/1v1/bigo_happy_hour_order_stat,,,hadoop,,hadoop,,,,,,1,1
1v1,bigo_happy_hour_login_stat,/flume/1v1/bigo_happy_hour_login_stat,1397421,1.27E-06,hadoop,,,,,,,,1,1
algo,live_stats_kafka_d_miclink,/flume/bigolive/live_stats_kafka_d-miclink,2.24E+12,2.039640353,hadoop,,,,,,,,1,1
algo,rec_broadcaster_time_d_orc,/recommend/hive/algo.db/rec_broadcaster_time_d_orc,9783979854,0.008898478,chenhuafeng,,chenhuafeng,hdfs,2463,,,,1,1
algo,rec_broadcaster_time_3d_orc,/recommend/hive/algo.db/rec_broadcaster_time_3d_orc,19876868604,0.018077907,chenhuafeng,,chenhuafeng,hdfs,1593,,,,1,1
algo,rec_broadcaster_time_7d_orc,/recommend/hive/algo.db/rec_broadcaster_time_7d_orc,33778895211,0.030721726,chenhuafeng,,chenhuafeng,hdfs,2262,,,,1,1
algo,rec_broadcaster_time_14d_orc,/recommend/hive/algo.db/rec_broadcaster_time_14d_orc,54032347572,0.049142134,chenhuafeng,,chenhuafeng,hdfs,3282,,,,1,1
algo,like_user_rank_country_150,/recommend/hive/algo.db/like_user_rank_country_150,1409638731,0.001282059,jinzigang,,jinzigang,hdfs,4462,,,,1,1
algo,like_user_rank_county,/recommend/hive/algo.db/like_user_rank_county,1.01E+11,0.091474766,jinzigang,,jinzigang,hdfs,102493,,,,1,1
algo,rec_like_new_star_banyun_orc_2,/recommend/hive/algo.db/rec_like_new_star_banyun_orc_2,67431387948,0.06132849,chenhuafeng,,chenhuafeng,hdfs,108151,,,,1,1
algo,rec_like_new_star_base_tmp_orc_2,/recommend/hive/algo.db/rec_like_new_star_base_tmp_orc_2,3.30E+13,30.01979588,chenhuafeng,,chenhuafeng,hdfs,140309,,,,1,1
algo,rec_like_new_star_base_orc_2,/recommend/hive/algo.db/rec_like_new_star_base_orc_2,5.81E+11,0.52813746,chenhuafeng,,chenhuafeng,hdfs,107050,,,,1,1
algo,rec_like_new_star_all_country_orc_2,/recommend/hive/algo.db/rec_like_new_star_all_country_orc_2,18194583,1.65E-05,chenhuafeng,,chenhuafeng,hdfs,1003,,,,1,1
algo,rec_like_new_star_one_country_orc_2,/recommend/hive/algo.db/rec_like_new_star_one_country_orc_2,166612653,0.000151533,chenhuafeng,,chenhuafeng,hdfs,4644,,,,1,1
algo,rec_like_new_star_total_orc_2,/recommend/hive/algo.db/rec_like_new_star_total_orc_2,4.30E+11,0.390908233,chenhuafeng,,chenhuafeng,hdfs,108062,,,,1,1
algo,like_static_share_rate_rank_d,/recommend/hive/algo.db/like_static_share_rate_rank_d,176764209,0.000160766,jinzigang,,jinzigang,hdfs,1018,,,,1,1
algo,welog_tbl_video,/recommend/hive/algo.db/welog_tbl_video,5803482306,0.005278236,jinzigang,,jinzigang,hdfs,1,,,,
algo,like_static_weeklyhighlights_share_rank,/recommend/hive/algo.db/like_static_weeklyhighlights_share_rank,3758357145,0.003418206,jinzigang,,jinzigang,hdfs,13479,,,,1,1
algo,rec_like_new_star_yunying_uid_orc,/recommend/hive/algo.db/rec_like_new_star_yunying_uid_orc,3726,3.39E-09,chenhuafeng,,chenhuafeng,hdfs,1,,,,
