库名,表名,路径,du B,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
report_tb,bigolive_lxx_fd_bigo_tbl_nobility_purchase_order,/data/hive/report_tb.db/bigolive_lxx_fd_bigo_tbl_nobility_purchase_order,678894303,0.000617451,linxixi,,linxixi,hdfs,,,,
report_tb,bigolive_lxx_fd_nbl_diamonds_return_orc,/data/hive/report_tb.db/bigolive_lxx_fd_nbl_diamonds_return_orc,3727500480,0.003390142,linxixi,,linxixi,hdfs,,,,
report_tb,wf_efficiency_stat_zxt_live_final_tmp,/data/hive/report_tb.db/wf_efficiency_stat_zxt_live_final_tmp,6066,5.51699E-09,zhuoxueteng,,zhuoxueteng,hdfs,,,,
report_tb,wf_efficiency_stat_zxt_live_first_tmp,/data/hive/report_tb.db/wf_efficiency_stat_zxt_live_first_tmp,15789,1.436E-08,zhuoxueteng,,zhuoxueteng,hdfs,,,,
report_tb,bigolive_af_zhuce,/data/hive/report_tb.db/bigolive_af_zhuce,2959605,2.69175E-06,maihaoqian,,maihaoqian,hdfs,,,,
report_tb,bigolive_lixue_car_button_uid,/data/hive/report_tb.db/bigolive_lixue_car_button_uid,20951989296,0.019055723,datagroup,,datagroup,hdfs,,,,
report_tb,likee_follows_month_finally,/data/hive/report_tb.db/likee_follows_month_finally,1368,1.24419E-09,linrongrong,,linrongrong,hdfs,,,,
report_tb,like_mdh_spider_competitive,/data/hive/report_tb.db/like_mdh_spider_competitive,143144292,0.000130189,maidonghua,,maidonghua,hdfs,,,,
report_tb,bigolive_lixue_car_button_for_web,/data/hive/report_tb.db/bigolive_lixue_car_button_for_web,17221095624,0.015662495,datagroup,,datagroup,hdfs,,,,
report_tb,cd_helloyo_month_active_dau_czl,/data/hive/report_tb.db/cd_helloyo_month_active_dau_czl,259776,2.36265E-07,chenzhanli1,,chenzhanli1,hdfs,,,,
report_tb,cd_helloyo_month_pay_amout_new_czl,/data/hive/report_tb.db/cd_helloyo_month_pay_amout_new_czl,82221,7.47796E-08,chenzhanli1,,chenzhanli1,hdfs,,,,
report_tb,cd_helloyo_month_active_dau_change_czl,/data/hive/report_tb.db/cd_helloyo_month_active_dau_change_czl,457398,4.16001E-07,chenzhanli1,,chenzhanli1,hdfs,,,,
report_tb,cd_helloyo_month_active_new_czl,/data/hive/report_tb.db/cd_helloyo_month_active_new_czl,107799,9.80426E-08,chenzhanli1,,chenzhanli1,hdfs,,,,
report_tb,cd_helloyo_month_pay_vm_dau_czl,/data/hive/report_tb.db/cd_helloyo_month_pay_vm_dau_czl,635784,5.78242E-07,chenzhanli1,,chenzhanli1,hdfs,,,,
report_tb,bigolive_lixue_car_daoju_bigoid,/data/hive/report_tb.db/bigolive_lixue_car_daoju_bigoid,4521915906,0.004112659,datagroup,,datagroup,hdfs,,,,
report_tb,bigolive_lxx_fd_nobility_change,/data/hive/report_tb.db/bigolive_lxx_fd_nobility_change,133740501,0.000121636,linxixi,,linxixi,hdfs,,,,
report_tb,cd_helloyo_month_vm_change_new_czl,/data/hive/report_tb.db/cd_helloyo_month_vm_change_new_czl,62262,5.6627E-08,chenzhanli1,,chenzhanli1,hdfs,,,,
report_tb,bigolive_lixue_car_daoju_for_web,/data/hive/report_tb.db/bigolive_lixue_car_daoju_for_web,9184473333,0.00835323,datagroup,,datagroup,hdfs,,,,
report_tb,cd_helloyo_month_pay_amout_dau_czl,/data/hive/report_tb.db/cd_helloyo_month_pay_amout_dau_czl,72315,6.57701E-08,chenzhanli1,,chenzhanli1,hdfs,,,,
report_tb,bigolive_lxx_fd_nobility_status,/data/hive/report_tb.db/bigolive_lxx_fd_nobility_status,300713199,0.000273497,linxixi,,linxixi,hdfs,,,,
report_tb,bigolive_wj_disp_delay_owner_audience,/data/hive/report_tb.db/bigolive_wj_disp_delay_owner_audience,1450592523,0.001319306,weijing,,weijing,hdfs,,,,
report_tb,bigolive_lx_tieba_tiezi_kehuduan_follow_click_uid,/data/hive/report_tb.db/bigolive_lx_tieba_tiezi_kehuduan_follow_click_uid,21656417142,0.019696397,datagroup,,datagroup,hdfs,,,,
report_tb,bigolive_income_data,/data/hive/report_tb.db/bigolive_income_data,364371,3.31393E-07,maihaoqian,,maihaoqian,hdfs,,,,
report_tb,bigolive_lx_tieba_tiezi_kehuduan_explore_version_uid,/data/hive/report_tb.db/bigolive_lx_tieba_tiezi_kehuduan_explore_version_uid,2.4511E+12,2.22926341,datagroup,,datagroup,hdfs,,day=yyyy-mm-dd,730,done
report_tb,bigolive_lixue_tieba_fanyi_for_web,/data/hive/report_tb.db/bigolive_lixue_tieba_fanyi_for_web,231977268,0.000210982,datagroup,,datagroup,hdfs,,,,
report_tb,bigolive_lixue_tieba_fanyi_uid,/data/hive/report_tb.db/bigolive_lixue_tieba_fanyi_uid,4490897502,0.004084447,datagroup,,datagroup,hdfs,,,,
report_tb,imo_audio_quality_ab_exp,/data/hive/report_tb.db/imo_audio_quality_ab_exp,21328105533,0.019397799,sunweihong,,sunweihong,hdfs,,,,
report_tb,bigolive_lxx_fd_nbl_diamonds_return_orc_0303,/data/hive/report_tb.db/bigolive_lxx_fd_nbl_diamonds_return_orc_0303,551947278,0.000501993,linxixi,,linxixi,hdfs,,,,
report_tb,imo_video_quality_ab_exp,/data/hive/report_tb.db/imo_video_quality_ab_exp,26150435226,0.023783682,sunweihong,,sunweihong,hdfs,,,,
report_tb,likeelive_lrr_chongzhi_his,/data/hive/report_tb.db/likeelive_lrr_chongzhi_his,178338036,0.000162197,linrongrong,,linrongrong,hdfs,,,,
report_tb,bigolive_wj_audience_test_for_downcore,/data/hive/report_tb.db/bigolive_wj_audience_test_for_downcore,11715085851,0.010654809,weijing,,weijing,hdfs,,,,
report_tb,bigolive_wj_owner_for_upcore,/data/hive/report_tb.db/bigolive_wj_owner_for_upcore,1203908337,0.001094948,weijing,,weijing,hdfs,,,,
report_tb,bigojiter_trace_get_swh,/data/hive/report_tb.db/bigojiter_trace_get_swh,917622,8.34572E-07,sunweihong,,sunweihong,hdfs,,,,
report_tb,bigolive_wj_owner_audience_for_core,/data/hive/report_tb.db/bigolive_wj_owner_audience_for_core,13859297640,0.012604958,weijing,,weijing,hdfs,,,,
report_tb,speex_trace_get_swh,/data/hive/report_tb.db/speex_trace_get_swh,,,sunweihong,,,,,,,
report_tb,bigojiter_trace_put_swh,/data/hive/report_tb.db/bigojiter_trace_put_swh,192501,1.75079E-07,sunweihong,,sunweihong,hdfs,,,,
report_tb,speex_trace_put_swh,/data/hive/report_tb.db/speex_trace_put_swh,,,sunweihong,,,,,,,
report_tb,bigolive_jeff_vip_daily_report,/data/hive/report_tb.db/bigolive_jeff_vip_daily_report,321659613,0.000292548,jeffzhong,,jeffzhong,hdfs,,,,
report_tb,bigolive_lixue_tieba_fanyi_user_xingwei_for_web,/data/hive/report_tb.db/bigolive_lixue_tieba_fanyi_user_xingwei_for_web,64619604,5.87712E-05,datagroup,,datagroup,hdfs,,,,
report_tb,bigo_speex_jitter_trace_detail_swh,/data/hive/report_tb.db/bigo_speex_jitter_trace_detail_swh,268363566,0.000244075,sunweihong,,sunweihong,hdfs,,,,
report_tb,likee_hdid_info_update_record_huangweiwei,/data/hive/report_tb.db/likee_hdid_info_update_record_huangweiwei,93,8.4583E-11,huangweiwei1,,huangweiwei1,hdfs,,,,
report_tb,imo_tolikee_limitvv_all_dyh,/data/hive/report_tb.db/imo_tolikee_limitvv_all_dyh,940713,8.55573E-07,dunyuhui,,dunyuhui,hdfs,,,,
report_tb,likeelive_lrr_pk_owner_type_detail_1,/data/hive/report_tb.db/likeelive_lrr_pk_owner_type_detail_1,1217792619,0.001107576,linrongrong,,linrongrong,hdfs,,,,
report_tb,likeelive_lrr_pk_owner_type_detail_3,/data/hive/report_tb.db/likeelive_lrr_pk_owner_type_detail_3,854996427,0.000777615,linrongrong,,linrongrong,hdfs,,,,
report_tb,bigolive_wj_audience_stats_for_iframe,/data/hive/report_tb.db/bigolive_wj_audience_stats_for_iframe,452928447,0.000411936,weijing,,weijing,hdfs,,,,
report_tb,likeelive_lrr_pk_owner_type_detail_2,/data/hive/report_tb.db/likeelive_lrr_pk_owner_type_detail_2,11057716017,0.010056934,linrongrong,,linrongrong,hdfs,,,,
report_tb,imo_av_basic_ab_exp,/data/hive/report_tb.db/imo_av_basic_ab_exp,11298773688,0.010276175,sunweihong,,sunweihong,hdfs,,day=yyyy-mm-dd,92,done
report_tb,bigolive_lixue_tieba_follow_yindao_for_web,/data/hive/report_tb.db/bigolive_lixue_tieba_follow_yindao_for_web,523277793,0.000475918,datagroup,,datagroup,hdfs,,,,
report_tb,like_yoga_monthly_active_fans_level_monitor,/data/hive/report_tb.db/like_yoga_monthly_active_fans_level_monitor,34590,3.14594E-08,huangyoujia,,huangyoujia,hdfs,,,,
report_tb,imo_av_remain1_7_ab_exp,/data/hive/report_tb.db/imo_av_remain1_7_ab_exp,70006546053,0.063670583,sunweihong,,sunweihong,hdfs,,day=yyyy-mm-dd,92,done
report_tb,imo_av_remain1_7_transform_ab_exp,/data/hive/report_tb.db/imo_av_remain1_7_transform_ab_exp,1.06324E+11,0.096700871,sunweihong,,sunweihong,hdfs,,day=yyyy-mm-dd,92,done
report_tb,likeelive_lxf_ticket_change_orc,/data/hive/report_tb.db/likeelive_lxf_ticket_change_orc,836660079,0.000760938,liuxiaofei,,liuxiaofei,hdfs,,,,
report_tb,like_mdh_abtest_strategy_uid,/data/hive/report_tb.db/like_mdh_abtest_strategy_uid,15261032322,0.013879828,maidonghua,,maidonghua,hdfs,,,,
report_tb,likeelive_lxf_vmoney_change_orc,/data/hive/report_tb.db/likeelive_lxf_vmoney_change_orc,3717377628,0.003380935,liuxiaofei,,liuxiaofei,hdfs,,,,
report_tb,likeelive_lxf_active_orc,/data/hive/report_tb.db/likeelive_lxf_active_orc,34890149889,0.031732406,liuxiaofei,,liuxiaofei,hdfs,,,,
report_tb,bigolive_zdx_choujiang_uid,/data/hive/report_tb.db/bigolive_zdx_choujiang_uid,129700347,0.000117962,zhangdongxue,,zhangdongxue,hdfs,,,,
report_tb,likeelive_lrr_label_popular,/data/hive/report_tb.db/likeelive_lrr_label_popular,115851726,0.000105367,linrongrong,,linrongrong,hdfs,,,,
report_tb,bigolive_zdx_choujiang_web,/data/hive/report_tb.db/bigolive_zdx_choujiang_web,71199189,6.47553E-05,zhangdongxue,,zhangdongxue,hdfs,,,,
report_tb,wf_sys_group_member,/data/hive/report_tb.db/wf_sys_group_member,235713,2.1438E-07,zhuoxueteng,,tangyun,hdfs,,,,
report_tb,wf_work_staff_scheduling_zxt,/data/hive/report_tb.db/wf_work_staff_scheduling_zxt,284625,2.58865E-07,zhuoxueteng,,zhuoxueteng,hdfs,,,,
report_tb,wf_fjy_hello_voice_cost_time,/data/hive/report_tb.db/wf_fjy_hello_voice_cost_time,2541,2.31103E-09,fujingya,,fujingya,hdfs,,,,
report_tb,bigolive_churn_uid_pool,/data/hive/report_tb.db/bigolive_churn_uid_pool,1.68148E+11,0.15292931,lyn,,lyn,hdfs,,,,
report_tb,bigolive_churn_uid_behaviour_o_bak,/data/hive/report_tb.db/bigolive_churn_uid_behaviour_o_bak,1.42027E+11,0.129172837,lyn,,lyn,hdfs,,,,
report_tb,bigolive_churn_uid_sn_o,/data/hive/report_tb.db/bigolive_churn_uid_sn_o,2.15718E+11,0.196194054,lyn,,lyn,hdfs,,,,
report_tb,bigolive_churn_uid_feature_o,/data/hive/report_tb.db/bigolive_churn_uid_feature_o,3.59814E+11,0.32724899,lyn,,lyn,hdfs,,,,
report_tb,wf_pzx_white_num,/data/hive/report_tb.db/wf_pzx_white_num,16068,1.46138E-08,fujingya,,fujingya,hdfs,,,,
report_tb,likee_sid_daliy_report_lqt,/data/hive/report_tb.db/likee_sid_daliy_report_lqt,2479179,2.2548E-06,lanqiangtai,,lanqiangtai,hdfs,,,,
