/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_uid_friends_info_day,283492
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered,156717
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_day,150151
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_show_detail_day,111513
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_stream_detail_day,104813
/data/hive/indigo_mediate_tb.db/indigo_world_uid_vv_hour,99621
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_opengroupchat_total_day,87854
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_completed,87432
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered_audio,84253
/data/hive/indigo_mediate_tb.db/indigo_world_uid_vv_strategy_hour_abflag,58180
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_day_old,49267
/data/hive/indigo_mediate_tb.db/wf_wangyakun_indigo_av_start_time_day1,44735
/data/hive/indigo_mediate_tb.db/indigo_heshuting_version_union_table_day,44101
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_completed_audio,42729
/data/hive/indigo_mediate_tb.db/new_user_uid_day_hour_orc,37728
/data/hive/indigo_mediate_tb.db/indigo_rec_show_event_orc,36551
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_last_login_day,36067
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_apps_mediate,35887
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered_video,35135
/data/hive/indigo_mediate_tb.db/indigo_heshuting_action_day,33062
/data/hive/indigo_mediate_tb.db/indigo_wyf_uid_last_login_day_hour,28593
/data/hive/indigo_mediate_tb.db/indigo_relation_buddylink_day,28471
